Site,year,Mseason_tmean,Mseason_tmin,Mseason_tmax,Mseason_precip,previous_Mseason_precip
PatagoniaAZ,1990,22.195089605734765,9.6,37.9,389.93,138.99
PatagoniaAZ,1991,23.134946236559138,11.9,36.6,176.3,389.93
PatagoniaAZ,1992,23.464659498207887,12.1,38.2,329.12,176.3
PatagoniaAZ,1993,23.020967741935483,7.7,36.1,285.25,329.12
PatagoniaAZ,1994,24.660931899641575,12.3,37.6,200.41,285.25
PatagoniaAZ,1995,24.77304659498208,10.1,40.3,184.61,200.41
PatagoniaAZ,1996,23.678387096774195,9.8,36.4,205.03,184.61
PatagoniaAZ,1997,25.08405017921147,13.7,38.9,260.8,205.03
PatagoniaAZ,1998,24.614372759856632,11,38.5,291.40999999999997,260.8
PatagoniaAZ,1999,23.210752688172043,11.9,37.3,308.66,291.40999999999997
